0,,,ALNS++,WFI,LOG-UFPB,Vavavuma!,HustSmart,Alkaid-X,WouterCo
93,RC107,PI,0.343803335,0.005185104,0.002136789,0.031558269,0.001979953,0.000528931,0.002358887
94,1207.8,Best sol.,1209.3,1207.8,1207.8,1207.8,1207.8,1207.8,1207.8
95,RC108,PI,0.142165277,0.035455872,0.004392931,0.141997708,0.057891602,0.000606653,0.000809044
96,1114.2,Best sol.,1114.2,1114.2,1114.2,1114.2,1114.2,1114.2,1114.2
97,RC201,PI,0.301338043,0.002373226,0.048964821,0.00402397,0.026182808,0.002200513,0.001326714
98,1261.8,Best sol.,1261.8,1261.8,1262.4,1261.8,1261.8,1261.8,1261.8
99,RC202,PI,0.240336354,0.003910806,0.005396174,0.020335343,0.114009709,0.001141134,0.001498578
100,1092.3,Best sol.,1092.3,1092.3,1092.3,1092.3,1092.3,1092.3,1092.3
101,RC203,PI,0.190924228,0.017774425,1.160130611,0.001287505,0.012185395,0.003468322,0.00115536
102,923.7,Best sol.,923.8,923.8,934.4,923.7,923.7,923.7,923.7
103,RC204,PI,0.143389258,0.000903733,0.005136074,0.002344597,0.001287123,0.001943696,0.000888488
104,783.5,Best sol.,783.5,783.5,783.5,783.5,783.5,783.5,783.5
105,RC205,PI,0.282810899,0.002276175,0.32090285,0.001507794,0.002252932,0.000837777,0.001247309
106,1154,Best sol.,1154,1154,1157.7,1154,1154,1154,1154
107,RC206,PI,1.756709418,0.007733745,0.00361512,0.030638265,0.017608012,0.001410609,0.001211513
108,1051.1,Best sol.,1064.3,1051.1,1051.1,1051.1,1051.1,1051.1,1051.1
109,RC207,PI,0.538805659,0.028779122,0.000521026,0.002967971,0.005557636,0.001219547,0.001157336
110,962.9,Best sol.,966.6,962.9,962.9,962.9,962.9,962.9,962.9
111,RC208,PI,0.99544532,0.003256183,0.453318869,0.081756002,0.008441235,0.007765964,0.001501911
112,776.1,Best sol.,782.8,776.1,779.6,776.1,776.1,776.1,776.1
113,C1_2_10,PI,0.237129571,0.001992261,0.054043028,0.048518584,0.025817899,0.002484596,0.002025453
114,2624.7,Best sol.,2627.2,2624.7,2626,2624.7,2624.7,2624.7,2624.7
115,C1_2_1,PI,0.143766869,0.000521838,0.000488535,0.000449921,0.00033229,0.000461343,0.00013066
116,2698.6,Best sol.,2698.6,2698.6,2698.6,2698.6,2698.6,2698.6,2698.6
117,C1_2_2,PI,0.285238856,0.000385235,0.000618655,0.000474208,0.000727023,0.000539506,0.000108789
118,2694.3,Best sol.,2694.3,2694.3,2694.3,2694.3,2694.3,2694.3,2694.3
119,C1_2_3,PI,0.435252882,0.008121909,0.000709505,0.000604066,0.000527314,0.001901767,0.0007712
120,2675.8,Best sol.,2675.8,2675.9,2675.8,2675.8,2675.8,2675.8,2675.8
121,C1_2_4,PI,0.194975171,0.011771136,0.002486095,0.035800412,0.002542392,0.00305238,0.001169723
122,2625.6,Best sol.,2625.6,2625.6,2625.6,2625.6,2625.6,2625.6,2625.6
123,C1_2_5,PI,0.283030465,0.000387271,0.000394798,0.000501781,0.001172125,0.000445548,0.000137779
124,2694.9,Best sol.,2694.9,2694.9,2694.9,2694.9,2694.9,2694.9,2694.9
125,C1_2_6,PI,0.42697481,0.000855564,0.000369865,0.000929973,0.001916834,0.000483031,0.000122222
126,2694.9,Best sol.,2694.9,2694.9,2694.9,2694.9,2694.9,2694.9,2694.9
127,C1_2_7,PI,0.487526885,0.006055556,0.000358868,0.000563173,0.001015926,0.000506981,0.006248148
128,2694.9,Best sol.,2694.9,2694.9,2694.9,2694.9,2694.9,2694.9,2694.9
129,C1_2_8,PI,0.577257216,0.001198779,0.000508097,0.000681491,0.00026334,0.000690342,0.000230806
130,2684,Best sol.,2684,2684,2684,2684,2684,2684,2684
