0,ins,ALNS++,bks,WFI,bks,LOG-UFPB,bks,Vavavuma!,bks,HustSmart,bks,Alkaid-X,bks,WouterCo,bks,minpi,mbks
186,C1_6_9,0.123967133,13706.2,0.146805737,13709.8,0.064623119,13707.6,0.334745366,13707.6,-0.032572741,13695.2,-0.140969784,13664.5,-0.045833928,13664.5,-0.140969784,13664.5
233,RC2_6_6,1.073616876,10940,1.088064742,10932,0.995297752,10929.1,0.28881936,10862.9,0.268113073,10862.6,0.119537365,10830.5,-0.044250273,10830.5,-0.044250273,10830.5
245,C1_8_8,0.192432664,24894.8,0.419413594,24957.7,0.361956207,24948.4,0.291026284,24910.1,0.048296985,24881.4,-0.052695832,24859,-0.043110484,24859.3,-0.052695832,24859
234,RC2_6_7,0.308304789,10327.7,0.545657578,10347.6,1.490183224,10418.2,0.365799716,10325.5,0.119698595,10308.6,-0.02447486,10293.4,-0.038043156,10293.4,-0.038043156,10293.4
228,RC2_6_1,0.217019403,11984.6,0.886743338,12051.5,0.241976509,11999,0.066478936,11979.3,0.227346905,11989.7,-0.036108745,11966.1,-0.037567634,11966.1,-0.037567634,11966.1
145,R1_4_8,0.949495363,7317.2,1.314671211,7348.5,0.99589756,7291.1,0.46622066,7278,0.640914136,7276.6,0.947514122,7293.1,-0.036351591,7247.6,-0.036351591,7247.6
29,R112,0.446093813,950.5,-0.023251112,948.6,-0.024913718,948.6,0.267524913,950.4,0.001765618,948.6,-0.027391553,948.6,-0.030681037,948.6,-0.030681037,948.6
214,R2_6_7,2.431246014,10040.5,2.260359663,9972.9,1.572142604,9953.3,0.296197349,9810.4,0.00031365,9786.6,0.122519286,9791.2,-0.014669623,9786.4,-0.014669623,9786.4
225,RC1_6_8,0.915360776,16051.1,2.70836525,16253.1,1.361888024,16089.7,1.262486165,16131.8,0.930621271,16043.4,1.92491731,16186,-0.012070887,15930.8,-0.012070887,15930.8
337,RC1_10_10,1.976962905,44272.3,4.50989195,45523.4,2.229605996,44653.4,1.036694182,43990.2,1.026989208,44059.6,2.07015435,44429.8,-0.011292868,43635.1,-0.011292868,43635.1
9,C109,0.59779014,827.3,0.000163765,827.3,0.000176647,827.3,0.000205419,827.3,0.000164052,827.3,0.0000831,827.3,0.0000222,827.3,0.0000222,827.3
16,C207,0.602506405,585.8,0.000226357,585.8,0.000211111,585.8,0.000161111,585.8,0.000136169,585.8,0.000120388,585.8,0.0000333,585.8,0.0000333,585.8
2,C102,0.277764503,827.3,0.000248729,827.3,0.000188889,827.3,0.000270494,827.3,0.000112267,827.3,0.0000963,827.3,0.0000444,827.3,0.0000444,827.3
3,C103,0.423377382,826.3,0.000200559,826.3,0.000161111,826.3,0.000357097,826.3,0.000220474,826.3,0.000136872,826.3,0.0000555,826.3,0.0000555,826.3
1,C101,0.136822222,827.3,0.00025,827.3,0.000183333,827.3,0.000283333,827.3,0.0000778,827.3,0.0000461,827.3,0.0000556,827.3,0.0000461,827.3
6,C106,0.646700322,827.3,0.000160832,827.3,0.000161111,827.3,0.000147681,827.3,0.0000908,827.3,0.000061326,827.3,0.0000556,827.3,0.0000556,827.3
7,C107,0.565414441,827.3,0.000180393,827.3,0.000166667,827.3,0.000155556,827.3,0.0000783,827.3,0.0000722,827.3,0.0000556,827.3,0.0000556,827.3
5,C105,0.723847424,827.3,0.000127886,827.3,0.000155556,827.3,0.000144444,827.3,0.0000558,827.3,0.0000589,827.3,0.0000611,827.3,0.0000558,827.3
10,C201,0.589037098,589.1,0.000160864,589.1,0.000266667,589.1,0.000144444,589.1,0.0000736,589.1,0.0000722,589.1,0.0000667,589.1,0.0000667,589.1
8,C108,0.57290783,827.3,0.000174373,827.3,0.000296111,827.3,0.000144444,827.3,0.000210792,827.3,0.0000889,827.3,0.0000778,827.3,0.0000778,827.3
17,C208,0.611977397,585.8,0.000249729,585.8,0.000282982,585.8,0.000161111,585.8,0.000118387,585.8,0.000119389,585.8,0.0000778,585.8,0.0000778,585.8
11,C202,0.617802033,589.1,0.000328512,589.1,0.000238889,589.1,0.000144444,589.1,0.000136163,589.1,0.000131148,589.1,0.0000844,589.1,0.0000844,589.1
15,C206,0.600013965,586,0.000287931,586,0.000346909,586,0.000144444,586,0.000122336,586,0.0000833,586,0.0000935,586,0.0000833,586
59,C1_2_2,0.285238856,2694.3,0.000385235,2694.3,0.000618655,2694.3,0.000474208,2694.3,0.000727023,2694.3,0.000539506,2694.3,0.000108789,2694.3,0.000108789,2694.3
63,C1_2_6,0.42697481,2694.9,0.000855564,2694.9,0.000369865,2694.9,0.000929973,2694.9,0.001916834,2694.9,0.000483031,2694.9,0.000122222,2694.9,0.000122222,2694.9
58,C1_2_1,0.143766869,2698.6,0.000521838,2698.6,0.000488535,2698.6,0.000449921,2698.6,0.00033229,2698.6,0.000461343,2698.6,0.00013066,2698.6,0.00013066,2698.6
123,C1_4_6,0.142382402,7140.1,0.000760965,7140.1,0.001084134,7140.1,0.001206663,7140.1,0.000499285,7140.1,0.001211365,7140.1,0.000133547,7140.1,0.000133547,7140.1
62,C1_2_5,0.283030465,2694.9,0.000387271,2694.9,0.000394798,2694.9,0.000501781,2694.9,0.001172125,2694.9,0.000445548,2694.9,0.000137779,2694.9,0.000137779,2694.9
122,C1_4_5,0.132291599,7138.8,0.000766977,7138.8,0.000946142,7138.8,0.001050439,7138.8,0.000381823,7138.8,0.001382037,7138.8,0.000141667,7138.8,0.000141667,7138.8
118,C1_4_1,0.071096022,7138.8,0.00553826,7138.8,0.001367632,7138.8,0.000925,7138.8,0.000406841,7138.8,0.000908641,7138.8,0.000144444,7138.8,0.000144444,7138.8
12,C203,0.602995477,588.7,0.000334608,588.7,0.000539929,588.7,0.000233738,588.7,0.000181128,588.7,0.00051051,588.7,0.000188899,588.7,0.000181128,588.7
68,C2_2_1,0.573065876,1922.1,0.001233961,1922.1,0.00786203,1922.1,0.000994618,1922.1,0.000810151,1922.1,0.000600428,1922.1,0.000195878,1922.1,0.000195878,1922.1
14,C205,0.605421781,586.4,0.000264378,586.4,0.000233333,586.4,0.000169084,586.4,0.000128608,586.4,0.0000884,586.4,0.000213067,586.4,0.0000884,586.4
65,C1_2_8,0.577257216,2684,0.001198779,2684,0.000508097,2684,0.000681491,2684,0.00026334,2684,0.000690342,2684,0.000230806,2684,0.000230806,2684
119,C1_4_2,0.14224526,7113.3,0.001611509,7113.3,0.00119198,7113.3,0.000962502,7113.3,0.000730823,7113.3,0.00328262,7113.3,0.000269223,7113.3,0.000269223,7113.3
4,C104,0.572653255,822.9,0.000269205,822.9,0.000127778,822.9,0.000240278,822.9,0.000318734,822.9,0.000134629,822.9,0.000330767,822.9,0.000127778,822.9
23,R106,0.280922678,1234.6,0.00268327,1234.6,0.000674392,1234.6,0.009461115,1234.6,0.00174581,1234.6,0.001484095,1234.6,0.000565376,1234.6,0.000565376,1234.6
182,C1_6_5,0.071816516,14066.8,0.014402426,14066.8,0.003226655,14066.8,0.002904236,14066.8,0.000768564,14066.8,0.006723234,14066.8,0.00057213,14066.8,0.00057213,14066.8
238,C1_8_1,0.070908632,25156.9,0.011717774,25156.9,0.004069537,25156.9,0.004969612,25156.9,0.002489412,25156.9,0.007578211,25156.9,0.00057977,25156.9,0.00057977,25156.9
22,R105,0.143959103,1355.3,0.002669889,1355.3,0.000481482,1355.3,0.010888174,1355.3,0.000998071,1355.3,0.000555039,1355.3,0.000599429,1355.3,0.000481482,1355.3
13,C204,0.600931495,588.1,0.000411705,588.1,0.000342429,588.1,0.000267635,588.1,0.008008275,588.1,0.000312215,588.1,0.00068006,588.1,0.000267635,588.1
