12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC1_8_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3635 secs
Base solution: 31199.630
BKS: 28363.3
Optimal: 0
Wed 26 Jan 2022 11:41:45 PM CST
timestamp: 1643211705
Solution value, local machine time, standardized time
29535.1 330.041 326.906
29534.4 330.042 326.907
29530.8 330.042 326.907
29528.7 331.785 328.633
29528.6 331.786 328.634
29527.0 331.787 328.635
29524.3 334.066 330.892
29524.0 334.067 330.893
29523.3 334.068 330.894
29520.7 334.068 330.894
29488.5 344.383 341.111
29488.3 344.416 341.144
29486.9 351.291 347.954
29486.8 351.292 347.955
29485.5 351.293 347.956
29484.0 352.028 348.684
29479.8 352.041 348.697
29478.5 354.815 351.444
29478.4 354.816 351.445
29475.2 358.362 354.958
29472.6 358.388 354.983
29472.1 358.389 354.984
29464.5 359.992 356.572
29455.8 360.056 356.635
29448.0 360.057 356.636
29446.0 365.304 361.834
29445.3 365.305 361.835
29438.3 365.307 361.837
29419.5 365.870 362.394
29417.2 368.506 365.005
29412.4 370.483 366.963
29410.7 370.484 366.964
29400.6 370.485 366.965
29394.7 370.486 366.966
29394.5 370.487 366.967
29387.6 371.488 367.959
29382.4 371.489 367.960
29381.4 371.490 367.961
29368.8 371.496 367.967
29367.4 371.496 367.967
29362.2 371.497 367.968
29361.5 371.498 367.969
29360.3 371.745 368.213
29356.9 371.757 368.225
29356.6 371.758 368.226
29356.5 372.928 369.385
29347.1 373.701 370.151
29344.4 373.722 370.172
29341.9 378.697 375.099
29338.2 380.348 376.735
29334.1 380.881 377.263
29332.4 380.882 377.264
29331.3 381.822 378.195
29329.0 383.224 379.583
29328.8 397.647 393.869
29328.0 397.651 393.873
29327.0 398.347 394.563
29326.5 398.363 394.579
29326.3 407.181 403.313
29322.7 407.182 403.314
29318.1 407.183 403.315
29317.4 407.385 403.515
29316.4 407.557 403.685
29314.6 407.558 403.686
29313.8 409.907 406.013
29311.9 409.908 406.014
29311.0 409.909 406.015
29309.7 409.910 406.016
29305.5 409.911 406.017
29304.9 409.911 406.017
29304.1 409.912 406.018
29298.8 411.477 407.568
29298.3 411.478 407.569
29296.6 411.479 407.570
29295.1 412.250 408.334
29294.8 412.251 408.335
29293.7 412.252 408.336
29293.2 412.253 408.337
29288.5 432.542 428.433
29287.0 432.543 428.434
29285.8 443.640 439.425
29284.8 443.641 439.426
29282.8 444.584 440.360
29278.5 452.367 448.070
29277.3 452.368 448.071
29273.1 452.369 448.071
29268.8 452.370 448.072
29264.2 459.709 455.342
29263.9 476.819 472.289
29261.5 493.654 488.964
29260.1 493.655 488.965
29259.8 493.655 488.965
29257.2 511.565 506.705
29247.1 511.566 506.706
29243.3 511.568 506.708
